town,state,sentiment_score,number_of_posts,satisfaction_score,score_valid
Port Royal, PA,0.33043346153846154,520,3.1761,1
Tyler, TX,0.3018709459710016,26967,3.1118,1
Mount Bethel, PA,0.297457619047619,420,3.1018,1
Chickamauga, GA,0.15708384615384616,130,2.785,1
East Calais, VT,0.19942432432432433,74,2.8805,1
Wixom, MI,0.32523535087719296,1140,3.1643,1
Trent, TX,n/a,0,2.4305,0
Yantis, TX,0.3614423076923077,156,3.246,1
Morehead, KY,0.1604083969465649,131,2.7925,1
Bay Minette, AL,0.2699884935654807,2642,3.0398,1
Bedford, TX,0.0889804781923279,3806,2.6314,1
Sharpsburg, KY,0.0,6,2.4305,1
Roslyn, NY,0.2119912359550562,1780,2.9089,1
Hiram, GA,0.35445132183908046,3496,3.2304,1
Vestavia, AL,0.3757952218430034,2930,3.2785,1
Ardmore, PA,0.33072386363636364,704,3.1767,1
Everson, PA,0.007120689655172412,58,2.4466,1
Normalville, PA,0.3121759538598048,2254,3.135,1
Shirleysburg, PA,n/a,0,2.4305,0
Upland, PA,0.4041364754098361,488,3.3424,1
Hunker, PA,0.2776203883495146,206,3.0569,1
Meadville, PA,0.28062476190476193,420,3.0637,1
Seven Fields, PA,0.34807880794701984,604,3.216,1
Geneseo, IL,0.20114628820960698,458,2.8843,1
Macomb, IL,0.227572782369146,1815,2.9441,1
Cottonwood, MN,0.08082142857142857,28,2.6129,1
Annandale, MN,0.3719429012345679,324,3.2697,1
Marine, IL,0.3882189655172414,58,3.3065,1
Washington Terrace, UT,n/a,0,2.4305,0
Burlington, VT,n/a,0,2.4305,0
Silver Lake, KS,0.259325,432,3.0156,1
Mc Louth, KS,0.23352499999999998,12,2.9574,1
Belle Chasse, LA,0.3064371193415638,2430,3.1219,1
Beech Island, SC,0.2611728346456693,762,3.0199,1
Catawba, SC,0.38880263157894734,76,3.3078,1
Battlefield, MO,0.17396524390243903,164,2.8232,1
Warren, OH,0.3825676604953114,4159,3.2939,1
