town,state,sentiment_score,number_of_posts,satisfaction_score,star_fill,x,y,score_valid
Saratoga Springs, UT,0.248635197,1449,3.0,100,3,1,1
Saratoga Springs, UT,0.248635197,1449,3.0,0.0,4,1,1
Saratoga Springs, UT,0.248635197,1449,3.0,0,5,1,1
Islandton, SC,0,8,2.4,100,1,1,1
Islandton, SC,0,8,2.4,100,2,1,1
Islandton, SC,0,8,2.4,39.99999999999999,3,1,1
Islandton, SC,0,8,2.4,0,4,1,1
Islandton, SC,0,8,2.4,0,5,1,1
Duluth, GA,0.253734091,44,3.0,100,1,1,1
Duluth, GA,0.253734091,44,3.0,100,2,1,1
Duluth, GA,0.253734091,44,3.0,100,3,1,1
Duluth, GA,0.253734091,44,3.0,0.0,4,1,1
Duluth, GA,0.253734091,44,3.0,0,5,1,1
Jasper, AL,0.28662972,2463,3.1,100,1,1,1
Jasper, AL,0.28662972,2463,3.1,100,2,1,1
Jasper, AL,0.28662972,2463,3.1,100,3,1,1
Jasper, AL,0.28662972,2463,3.1,10.000000000000009,4,1,1
Jasper, AL,0.28662972,2463,3.1,0,5,1,1
Columbiana, AL,0.392137968,187,3.3,100,1,1,1
Columbiana, AL,0.392137968,187,3.3,100,2,1,1
Columbiana, AL,0.392137968,187,3.3,100,3,1,1
Columbiana, AL,0.392137968,187,3.3,29.999999999999982,4,1,1
Columbiana, AL,0.392137968,187,3.3,0,5,1,1
Haleyville, AL,0.169168889,45,2.8,100,1,1,1
Haleyville, AL,0.169168889,45,2.8,100,2,1,1
Haleyville, AL,0.169168889,45,2.8,79.99999999999999,3,1,1
Haleyville, AL,0.169168889,45,2.8,0,4,1,1
Haleyville, AL,0.169168889,45,2.8,0,5,1,1
White River Junction, VT,0.21640823,486,2.9,100,1,1,1
White River Junction, VT,0.21640823,486,2.9,100,2,1,1
White River Junction, VT,0.21640823,486,2.9,89.99999999999999,3,1,1
White River Junction, VT,0.21640823,486,2.9,0,4,1,1
White River Junction, VT,0.21640823,486,2.9,0,5,1,1
Tyrone, NM,0.126775,64,2.7,100,1,1,1
Tyrone, NM,0.126775,64,2.7,100,2,1,1
Tyrone, NM,0.126775,64,2.7,70.00000000000001,3,1,1
Tyrone, NM,0.126775,64,2.7,0,4,1,1
Tyrone, NM,0.126775,64,2.7,0,5,1,1
Rices Landing, PA,0,18,2.4,100,1,1,1
Rices Landing, PA,0,18,2.4,100,2,1,1
Rices Landing, PA,0,18,2.4,39.99999999999999,3,1,1
Rices Landing, PA,0,18,2.4,0,4,1,1
Rices Landing, PA,0,18,2.4,0,5,1,1
Wampum, PA,0.243173881,268,3.0,100,1,1,1
Wampum, PA,0.243173881,268,3.0,100,2,1,1
Wampum, PA,0.243173881,268,3.0,100,3,1,1
Wampum, PA,0.243173881,268,3.0,0.0,4,1,1
Wampum, PA,0.243173881,268,3.0,0,5,1,1
Mc Sherrystown, PA,0.214074766,642,2.9,100,1,1,1
Mc Sherrystown, PA,0.214074766,642,2.9,100,2,1,1
Mc Sherrystown, PA,0.214074766,642,2.9,89.99999999999999,3,1,1
Mc Sherrystown, PA,0.214074766,642,2.9,0,4,1,1
Mc Sherrystown, PA,0.214074766,642,2.9,0,5,1,1
Adrian, MN,0,2,2.4,100,1,1,1
Adrian, MN,0,2,2.4,100,2,1,1
Adrian, MN,0,2,2.4,39.99999999999999,3,1,1
Adrian, MN,0,2,2.4,0,4,1,1
Adrian, MN,0,2,2.4,0,5,1,1
Hemet, CA,n/a,0,0,0,1,1,0
Hemet, CA,n/a,0,0,0,2,1,0
Hemet, CA,n/a,0,0,0,3,1,0
Hemet, CA,n/a,0,0,0,4,1,0
Hemet, CA,n/a,0,0,0,5,1,0
Inverness, FL,0.097807143,28,2.7,100,1,1,1
Inverness, FL,0.097807143,28,2.7,100,2,1,1
Inverness, FL,0.097807143,28,2.7,70.00000000000001,3,1,1
Inverness, FL,0.097807143,28,2.7,0,4,1,1
Inverness, FL,0.097807143,28,2.7,0,5,1,1
Bothell, WA,0.279691892,185,3.1,100,1,1,1
Bothell, WA,0.279691892,185,3.1,100,2,1,1
Bothell, WA,0.279691892,185,3.1,100,3,1,1
Bothell, WA,0.279691892,185,3.1,10.000000000000009,4,1,1
Bothell, WA,0.279691892,185,3.1,0,5,1,1
Warren, TX,0.335154683,662,3.2,100,1,1,1
Warren, TX,0.335154683,662,3.2,100,2,1,1
Warren, TX,0.335154683,662,3.2,100,3,1,1
Warren, TX,0.335154683,662,3.2,20.000000000000018,4,1,1
Warren, TX,0.335154683,662,3.2,0,5,1,1
Centerville, OH,n/a,0,0,0,1,1,0
Centerville, OH,n/a,0,0,0,2,1,0
Centerville, OH,n/a,0,0,0,3,1,0
Centerville, OH,n/a,0,0,0,4,1,0
Centerville, OH,n/a,0,0,0,5,1,0
Florence, KY,0.279396296,5184,3.1,100,1,1,1
Florence, KY,0.279396296,5184,3.1,100,2,1,1
Florence, KY,0.279396296,5184,3.1,100,3,1,1
Florence, KY,0.279396296,5184,3.1,10.000000000000009,4,1,1
Florence, KY,0.279396296,5184,3.1,0,5,1,1
Tullahoma, TN,0.251530392,102,3.0,100,1,1,1
Tullahoma, TN,0.251530392,102,3.0,100,2,1,1
Tullahoma, TN,0.251530392,102,3.0,100,3,1,1
